item_id,theme_bucket,short_title,venue,year,source_md_path,source_pdf_relative_path,paper_table_bucket,resource_allocation_flag,resource_allocation_mechanism,allocation_signal,scheduler_timing_signal_flag,scoped_interface_flag,evidence_location,auditor_note
C1-011,01_transformer_attention_photonic,Optical Transformers,,,kb_markdown/01_transformer_attention_photonic/Optical_Transformers_arXiv2302.10360.md,01_transformer_attention_photonic/Optical_Transformers_arXiv2302.10360.pdf,Photonic Transformer accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-012,01_transformer_attention_photonic,Photonic Transformer Chip: Interference Is All You Need,PhotoniX 2025,2025,kb_markdown/01_transformer_attention_photonic/Photonic_Transformer_Chip_Interference_All_You_Need_PhotoniX2025.md,01_transformer_attention_photonic/Photonic_Transformer_Chip_Interference_All_You_Need_PhotoniX2025.pdf,Photonic Transformer accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-013,01_transformer_attention_photonic,TRON: Transformer Neural Network Acceleration with,arXiv arXiv2303.12914,2023,kb_markdown/01_transformer_attention_photonic/TRON_Transformer_Neural_Network_Acceleration_with_Non-Coherent_Silicon_Photonics_arXiv2303.12914.md,01_transformer_attention_photonic/TRON_Transformer_Neural_Network_Acceleration_with_Non-Coherent_Silicon_Photonics_arXiv2303.12914.pdf,Photonic Transformer accelerators,true,non-coherent photonic Transformer mapping/resource partitioning,static operator mapping and architecture constraints,false,false,source-page 1; metadata: contribution/key_claims/method_tags,"RA-positive: mapping/resource decisions are architecture local, not scheduler slack."
C1-014,01_transformer_attention_photonic,lightening transformer,,,kb_markdown/01_transformer_attention_photonic/lightening transformer.md,01_transformer_attention_photonic/lightening transformer.pdf,Baseline / reference / context items,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-015,02_photonic_nn_accelerators,ASP DAC OpticalHDC,,,kb_markdown/02_photonic_nn_accelerators/ASP_DAC_OpticalHDC.md,02_photonic_nn_accelerators/ASP_DAC_OpticalHDC.pdf,Photonic NN accelerators,true,optical hyperdimensional-computing encoding/resource selection,encoding dimension and optical/DAC cost,false,false,source-page 1; metadata: contribution/key_claims/method_tags,"RA-positive: code/resource choice is algorithmic, not scheduler-derived."
C1-016,02_photonic_nn_accelerators,A Winograd-based Integrated Photonics Accelerator for Convolutional Neural Networks,arXiv arXiv1906.10487,2019,kb_markdown/02_photonic_nn_accelerators/A_Winograd-based_Integrated_Photonics_Accelerator_for_Convolutional_Neural_Networks_arXiv1906.10487v2.md,02_photonic_nn_accelerators/A_Winograd-based_Integrated_Photonics_Accelerator_for_Convolutional_Neural_Networks_arXiv1906.10487v2.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-017,02_photonic_nn_accelerators,A compact butterfly-style silicon photonic-electronic neural chip for hardware-efficient deep learning,arXiv arXiv2111.06705,2021,kb_markdown/02_photonic_nn_accelerators/A_compact_butterfly-style_silicon_photonic-electronic_neural_chip_for_hardware-efficient_deep_learning_arXiv2111.06705.md,02_photonic_nn_accelerators/A_compact_butterfly-style_silicon_photonic-electronic_neural_chip_for_hardware-efficient_deep_learning_arXiv2111.06705.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-018,02_photonic_nn_accelerators,An Optical XNOR-Bitcount Based Accelerator for Efficient Inference of Binary Neural Networks,arXiv arXiv2302.06405,2023,kb_markdown/02_photonic_nn_accelerators/An_Optical_XNOR-Bitcount_Based_Accelerator_for_Efficient_Inference_of_Binary_Neural_Networks_arXiv2302.06405.md,02_photonic_nn_accelerators/An_Optical_XNOR-Bitcount_Based_Accelerator_for_Efficient_Inference_of_Binary_Neural_Networks_arXiv2302.06405.pdf,Photonic NN accelerators,true,binary XNOR-bitcount compute reduction,binary weight/activation representation,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: binary representation reduces compute resources without scheduler slack.
C1-019,02_photonic_nn_accelerators,Analysis Loss Crosstalk MZI Photonic NNs,,,kb_markdown/02_photonic_nn_accelerators/Analysis_Loss_Crosstalk_MZI_Photonic_NNs.md,02_photonic_nn_accelerators/Analysis_Loss_Crosstalk_MZI_Photonic_NNs.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-020,02_photonic_nn_accelerators,CrossLight: A Cross-Layer Optimized Silicon Photonic,arXiv arXiv2102.06960,2021,kb_markdown/02_photonic_nn_accelerators/CrossLight_A_Cross-Layer_Optimized_Silicon_Photonic_Neural_Network_Accelerator_arXiv2102.06960v1.md,02_photonic_nn_accelerators/CrossLight_A_Cross-Layer_Optimized_Silicon_Photonic_Neural_Network_Accelerator_arXiv2102.06960v1.pdf,Photonic NN accelerators,true,cross-layer photonic accelerator resource optimization,layer/device co-optimization objective,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: allocation follows cross-layer cost and accuracy models.
C1-021,02_photonic_nn_accelerators,A Hardware-Efficient Photonic Tensor Core: Accelerating Deep Neural,,,kb_markdown/02_photonic_nn_accelerators/Hardware_Efficient_Photonic_Tensor_Core_Structured_Compression.md,02_photonic_nn_accelerators/Hardware_Efficient_Photonic_Tensor_Core_Structured_Compression.pdf,Photonic NN accelerators,true,structured photonic tensor-core compression,structured compression / weight-structure signal,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: compression is model-structure driven.
C1-022,02_photonic_nn_accelerators,Lightator An Optical Near-Sensor Accelerator with Compressive Acquisition Enabling Versatile Image Processing,arXiv arXiv2403.05037,2024,kb_markdown/02_photonic_nn_accelerators/Lightator_An_Optical_Near-Sensor_Accelerator_with_Compressive_Acquisition_Enabling_Versatile_Image_Processing_arXiv2403.05037v1.md,02_photonic_nn_accelerators/Lightator_An_Optical_Near-Sensor_Accelerator_with_Compressive_Acquisition_Enabling_Versatile_Image_Processing_arXiv2403.05037v1.pdf,Photonic NN accelerators,true,near-sensor compressive acquisition budget,image/acquisition compressibility,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: acquisition resources follow signal compressibility.
C1-023,02_photonic_nn_accelerators,Liu et al. - 2019 - HolyLight A Nanophotonic Accelerator for Deep Learning in Data Centers,,2019,kb_markdown/02_photonic_nn_accelerators/Liu et al. - 2019 - HolyLight A Nanophotonic Accelerator for Deep Learning in Data Centers.md,02_photonic_nn_accelerators/Liu et al. - 2019 - HolyLight A Nanophotonic Accelerator for Deep Learning in Data Centers.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-024,02_photonic_nn_accelerators,Nonlinear Photonic Neuromorphic Chips for Spiking,arXiv arXiv2508.06962,2025,kb_markdown/02_photonic_nn_accelerators/Nonlinear_Photonic_Neuromorphic_Chips_for_Spiking_Reinforcement_Learning_arXiv2508.06962.md,02_photonic_nn_accelerators/Nonlinear_Photonic_Neuromorphic_Chips_for_Spiking_Reinforcement_Learning_arXiv2508.06962.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-025,02_photonic_nn_accelerators,OISA: Architecting an Optical In-Sensor Accelerator for,arXiv arXiv2311.18655,2023,kb_markdown/02_photonic_nn_accelerators/OISA_Architecting_an_Optical_In-Sensor_Accelerator_for_Efficient_Visual_Computing_arXiv2311.18655v1.md,02_photonic_nn_accelerators/OISA_Architecting_an_Optical_In-Sensor_Accelerator_for_Efficient_Visual_Computing_arXiv2311.18655v1.pdf,Photonic NN accelerators,true,optical in-sensor compute/resource partitioning,visual-computing operator and sensor dataflow,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: in-sensor resources are architecture/dataflow driven.
C1-026,02_photonic_nn_accelerators,Optical Convolutional Neural Networks – Combining Silicon Photonics,arXiv arXiv2103.09044,2021,kb_markdown/02_photonic_nn_accelerators/Optical_Convolutional_Neural_Networks_Combining_Silicon_Photonics_and_Fourier_Optics_for_Computer_Vision_arXiv2103.09044.md,02_photonic_nn_accelerators/Optical_Convolutional_Neural_Networks_Combining_Silicon_Photonics_and_Fourier_Optics_for_Computer_Vision_arXiv2103.09044.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-027,02_photonic_nn_accelerators,PhotoFourier: A Photonic Joint Transform,arXiv arXiv2211.05276,2022,kb_markdown/02_photonic_nn_accelerators/PhotoFourier_A_Photonic_Joint_Transform_Correlator-Based_Neural_Network_Accelerator_arXiv2211.05276v1.md,02_photonic_nn_accelerators/PhotoFourier_A_Photonic_Joint_Transform_Correlator-Based_Neural_Network_Accelerator_arXiv2211.05276v1.pdf,Photonic NN accelerators,true,photonic joint-transform correlator resource mapping,Fourier-domain operator mapping,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: optical transform mapping controls resource use.
C1-028,02_photonic_nn_accelerators,PhotonNTT Energy-Efficient Parallel Photonic Number Theoretic Transform Accelerator,,,kb_markdown/02_photonic_nn_accelerators/PhotonNTT_Energy-Efficient_Parallel_Photonic_Number_Theoretic_Transform_Accelerator.md,02_photonic_nn_accelerators/PhotonNTT_Energy-Efficient_Parallel_Photonic_Number_Theoretic_Transform_Accelerator.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-029,02_photonic_nn_accelerators,Photonic Neuromorphic Accelerators for Event-Based Imaging,arXiv arXiv2404.10564,2024,kb_markdown/02_photonic_nn_accelerators/Photonic_Neuromorphic_Accelerators_for_Event-Based_Imaging_Flow_Cytometry_arXiv2404.10564.md,02_photonic_nn_accelerators/Photonic_Neuromorphic_Accelerators_for_Event-Based_Imaging_Flow_Cytometry_arXiv2404.10564.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-030,02_photonic_nn_accelerators,Photonic Reconfigurable Accelerators for Efficient Inference of CNNs with Mixed-Sized Tensors,arXiv arXiv2207.05278,2022,kb_markdown/02_photonic_nn_accelerators/Photonic_Reconfigurable_Accelerators_for_Efficient_Inference_of_CNNs_with_Mixed-Sized_Tensors_arXiv2207.05278.md,02_photonic_nn_accelerators/Photonic_Reconfigurable_Accelerators_for_Efficient_Inference_of_CNNs_with_Mixed-Sized_Tensors_arXiv2207.05278.pdf,Photonic NN accelerators,true,mixed-size tensor reconfiguration,tensor shape / layer size,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: hardware reconfiguration follows tensor dimensions.
C1-031,02_photonic_nn_accelerators,Photonic Spiking Graph Neural Network for Energy-Efficient,arXiv arXiv2512.19182,2025,kb_markdown/02_photonic_nn_accelerators/Photonic_Spiking_Graph_Neural_Network_for_Energy-Efficient_Structured_Data_Processing_arXiv2512.19182.md,02_photonic_nn_accelerators/Photonic_Spiking_Graph_Neural_Network_for_Energy-Efficient_Structured_Data_Processing_arXiv2512.19182.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-032,02_photonic_nn_accelerators,Programmable Optical Spectrum Shapers as Computing Primitives for Accelerating Convolutional Neural Networks,arXiv arXiv2512.20580,2025,kb_markdown/02_photonic_nn_accelerators/Programmable_Optical_Spectrum_Shapers_as_Computing_Primitives_for_Accelerating_Convolutional_Neural_Networks_arXiv2512.20580.md,02_photonic_nn_accelerators/Programmable_Optical_Spectrum_Shapers_as_Computing_Primitives_for_Accelerating_Convolutional_Neural_Networks_arXiv2512.20580.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-033,02_photonic_nn_accelerators,RecLight: A Recurrent Neural Network Accelerator,arXiv arXiv2209.00084,2022,kb_markdown/02_photonic_nn_accelerators/RecLight_A_Recurrent_Neural_Network_Accelerator_with_Integrated_Silicon_Photonics_arXiv2209.00084.md,02_photonic_nn_accelerators/RecLight_A_Recurrent_Neural_Network_Accelerator_with_Integrated_Silicon_Photonics_arXiv2209.00084.pdf,Photonic NN accelerators,true,RNN photonic resource/dataflow mapping,recurrent-layer dataflow,false,false,source-page 1; metadata: contribution/key_claims/method_tags,"RA-positive: mapping follows RNN structure, not scheduler slack."
C1-034,02_photonic_nn_accelerators,SCATTER ICCAD2024,ICCAD,2024,kb_markdown/02_photonic_nn_accelerators/SCATTER_ICCAD2024.md,02_photonic_nn_accelerators/SCATTER_ICCAD2024.pdf,Photonic NN accelerators,true,crosstalk-aware pruning and power gating,weight L2-norm plus photonic crosstalk/power model,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: local model and physical signals drive gating.
C1-035,02_photonic_nn_accelerators,SONIC: A Sparse Neural Network Inference Accelerator with Silicon,arXiv arXiv2109.04459,2021,kb_markdown/02_photonic_nn_accelerators/SONIC_A_Sparse_Neural_Network_Inference_Accelerator_with_Silicon_Photonics_for_Energy-Efficient_Deep_Learning_arXiv2109.04459v1.md,02_photonic_nn_accelerators/SONIC_A_Sparse_Neural_Network_Inference_Accelerator_with_Silicon_Photonics_for_Energy-Efficient_Deep_Learning_arXiv2109.04459v1.pdf,Photonic NN accelerators,true,sparse neural-network photonic inference,network sparsity pattern,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: sparsity is model-derived.
C1-036,02_photonic_nn_accelerators,SafeLight: Enhancing Security in Optical,arXiv arXiv2411.16712,2024,kb_markdown/02_photonic_nn_accelerators/SafeLight_Enhancing_Security_in_Optical_Convolutional_Neural_Network_Accelerators_arXiv2411.16712v1.md,02_photonic_nn_accelerators/SafeLight_Enhancing_Security_in_Optical_Convolutional_Neural_Network_Accelerators_arXiv2411.16712v1.pdf,Photonic NN accelerators,true,security-aware optical CNN resource hardening,threat/robustness target,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: protection resource is threat-model driven.
C1-037,02_photonic_nn_accelerators,Si microring resonator crossbar array for on-chip inference and,arXiv arXiv2106.04351,2021,kb_markdown/02_photonic_nn_accelerators/Si_microring_resonator_crossbar_array_for_on-chip_inference_and_training_of_optical_neural_network_arXiv2106.04351.md,02_photonic_nn_accelerators/Si_microring_resonator_crossbar_array_for_on-chip_inference_and_training_of_optical_neural_network_arXiv2106.04351.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-038,02_photonic_nn_accelerators,Single-chip photonic DNN instantaneous image classification,,,kb_markdown/02_photonic_nn_accelerators/Single-chip_photonic_DNN_instantaneous_image_classification_arXiv2106.11747.md,02_photonic_nn_accelerators/Single-chip_photonic_DNN_instantaneous_image_classification_arXiv2106.11747.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-039,02_photonic_nn_accelerators,TOPS-speed complex-valued convolutional accelerator NatCommun2025,,,kb_markdown/02_photonic_nn_accelerators/TOPS-speed_complex-valued_convolutional_accelerator_NatCommun2025.md,02_photonic_nn_accelerators/TOPS-speed_complex-valued_convolutional_accelerator_NatCommun2025.pdf,Photonic NN accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-040,03_stochastic_computing_methods,ARTEMIS: A Mixed Analog-Stochastic In-DRAM Accelerator for Transformer Neural Networks,,,kb_markdown/03_stochastic_computing_methods/ARTEMIS_Mixed_Analog_Stochastic_In-DRAM_Transformer_Accelerator_arXiv2407.12638.md,03_stochastic_computing_methods/ARTEMIS_Mixed_Analog_Stochastic_In-DRAM_Transformer_Accelerator_arXiv2407.12638.pdf,Stochastic computing methods,true,variable stochastic accumulation for Transformer operations,accumulation-count / error tradeoff,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: stochastic accumulation is locally controlled.
C1-041,03_stochastic_computing_methods,ASCEND: Accurate yet Efficient End-to-End Stochastic Computing Acceleration of Vision,,,kb_markdown/03_stochastic_computing_methods/ASCEND_Stochastic_Computing_Acceleration_of_Vision_Transformer_arXiv2402.12820.md,03_stochastic_computing_methods/ASCEND_Stochastic_Computing_Acceleration_of_Vision_Transformer_arXiv2402.12820.pdf,Stochastic computing methods,true,stochastic-computing Vision Transformer resource sizing,bitstream length and accuracy/energy target,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: stochastic precision is algorithmic/model driven.
C1-042,03_stochastic_computing_methods,Deterministic Methods for Stochastic Computing using,ICCAD,2018,kb_markdown/03_stochastic_computing_methods/Deterministic_Methods_Low_Discrepancy_Sequences_ICCAD2018.md,03_stochastic_computing_methods/Deterministic_Methods_Low_Discrepancy_Sequences_ICCAD2018.pdf,Stochastic computing methods,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-043,03_stochastic_computing_methods,Energy Efficient Stochastic Computing Sobol Sequences DATE2017,DATE,2017,kb_markdown/03_stochastic_computing_methods/Energy_Efficient_Stochastic_Computing_Sobol_Sequences_DATE2017.md,03_stochastic_computing_methods/Energy_Efficient_Stochastic_Computing_Sobol_Sequences_DATE2017.pdf,Stochastic computing methods,true,Sobol-sequence stochastic-computing energy reduction,low-discrepancy sequence choice,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: sequence/resource choice is stochastic-computing local.
C1-044,03_stochastic_computing_methods,"SCONNA: A Stochastic Computing Based Optical Accelerator for Ultra-Fast, Energy-Efficient Inference of Integer-Quanti...",arXiv arXiv2302.07036,2023,kb_markdown/03_stochastic_computing_methods/SCONNA_A_Stochastic_Computing_Based_Optical_Accelerator_for_Ultra-Fast_Energy-Efficient_Inference_of_Integer-Quantized_CNNs_arXiv2302.07036v1.md,03_stochastic_computing_methods/SCONNA_A_Stochastic_Computing_Based_Optical_Accelerator_for_Ultra-Fast_Energy-Efficient_Inference_of_Integer-Quantized_CNNs_arXiv2302.07036v1.pdf,Stochastic computing methods,true,stochastic optical CNN acceleration,integer-quantized CNN stochastic representation,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: stochastic representation controls compute cost.
C1-045,03_stochastic_computing_methods,"A Scalable, Deterministic Approach to Stochastic Computing",GLSVLSI,2022,kb_markdown/03_stochastic_computing_methods/Scalable_Deterministic_Approach_Stochastic_Computing_GLSVLSI2022.md,03_stochastic_computing_methods/Scalable_Deterministic_Approach_Stochastic_Computing_GLSVLSI2022.pdf,Stochastic computing methods,true,deterministic stochastic-computing stream construction,sequence construction / stream length,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: stream construction controls resource-quality tradeoff.
C1-046,04_systems_interconnect_scaling,ASCEND: A Scalable and Energy-Efficient Deep Neural Network Accelerator with Photonic Interconnects,TCAS,2022,kb_markdown/04_systems_interconnect_scaling/ASCEND_Photonic_Interconnects_TCAS2022.md,04_systems_interconnect_scaling/ASCEND_Photonic_Interconnects_TCAS2022.pdf,System interconnect / scaling,true,photonic interconnect resource planning,link bandwidth and photonic interconnect topology,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: link resources are system-topology driven.
C1-047,04_systems_interconnect_scaling,A Lightweight High-Throughput Collective-Capable NoC for Energy-Efficient DNN Acceleration,arXiv 2603.26438,2026,kb_markdown/04_systems_interconnect_scaling/Collective_Capable_NoC_arXiv2603.26438.md,04_systems_interconnect_scaling/Collective_Capable_NoC_arXiv2603.26438.pdf,Baseline / reference / context items,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-048,04_systems_interconnect_scaling,"FlooNoC: A Fast, Lightweight, Extensible Network-on-Chip for Heterogeneous Systems on Chip",arXiv 2409.17606,2024,kb_markdown/04_systems_interconnect_scaling/FlooNoC_Modular_Fast_Lightweight_NoC_arXiv2409.17606.md,04_systems_interconnect_scaling/FlooNoC_Modular_Fast_Lightweight_NoC_arXiv2409.17606.pdf,System interconnect / scaling,true,NoC transaction/routing resource organization,network topology and transaction stream,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: routing resources are NoC/system driven.
C1-049,04_systems_interconnect_scaling,ForestColl: Efficient Collective Communications on Heterogeneous Network Fabrics,arXiv 2402.06787,2024,kb_markdown/04_systems_interconnect_scaling/ForestColl_Heterogeneous_Network_Fabrics_arXiv2402.06787.md,04_systems_interconnect_scaling/ForestColl_Heterogeneous_Network_Fabrics_arXiv2402.06787.pdf,System interconnect / scaling,true,heterogeneous network collective allocation,collective-operation topology and fabric capacity,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: collective scheduling is fabric/workload driven.
